"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 37B,LEGS 47,LEGS 02A,LEGS 45,LEGS 26,LEGS 08,LEGS 28,LEGS 03B,LEGS 13,LEGS 12B,LEGS 17,LEGS 34A,LEGS 04B,LEGS 07,LEGS 29B,LEGS 34B,LEGS 21,LEGS 04A,LEGS 18,LEGS 11,LEGS 38B,LEGS 16,LEGS 19,LEGS 22,LEGS 31,LEGS 44,LEGS 20,LEGS 23A,LEGS 02C,LEGS 09B,LEGS 36,LEGS 03A,LEGS 09A,LEGS 39,LEGS 32,LEGS 43,LEGS 10,LEGS 25,LEGS 42,LEGS 29A,LEGS 12A,LEGS 14,LEGS 15,LEGS 46,LEGS 27B,LEGS 29C,LEGS 35A,LEGS 01B,LEGS 37A,LEGS 01A,LEGS 40,LEGS 41,LEGS 24,LEGS 06,LEGS 35B,LEGS 01C,LEGS 05A,LEGS 33A,LEGS 30,LEGS 33B,LEGS 27A,LEGS 05B,LEGS 38A,LEGS 23B,LEGS 02B
1,00,"Other Write-Ins",BOT,Comptroller,,,Y,22,9,11,9,15,39,20,15,43,4,37,23,16,48,13,7,26,19,38,42,22,31,27,20,46,27,31,15,5,19,34,25,27,27,49,37,38,13,44,8,27,28,34,23,7,14,31,2,7,4,29,17,10,27,20,10,39,35,42,17,11,16,7,8,6
1,00,"Douglas F. Gansler",DEM,Attorney General,,Y,,16607,13050,7558,19025,23088,24486,29365,10398,28457,9170,21203,17209,8038,24139,8776,8054,18794,15515,24495,31964,16482,29830,22493,17019,23629,14065,19579,16632,5083,8873,23719,15588,19940,18987,24153,20999,28094,24089,25121,8208,15501,24623,25509,16093,8596,8087,18304,6517,6372,5385,17668,20804,20390,17932,8936,5764,15229,19623,27908,9527,22749,10434,7053,10328,6625
1,00,"Other Write-Ins",BOT,Attorney General,,,Y,274,57,149,128,48,582,402,313,628,129,417,368,350,709,184,199,245,430,508,521,225,693,476,123,606,88,237,180,65,295,479,351,640,458,546,133,221,49,568,155,360,619,717,279,175,183,866,45,57,83,105,160,34,363,345,62,531,655,781,283,165,350,81,49,125
1,00,"Barbara A. Mikulski",DEM,U.S. Senator,,Y,,12234,13076,5175,19493,23046,18667,25124,7475,24028,8066,18475,13460,4850,16543,6041,5237,17155,9836,22563,27399,11982,26864,19818,16557,16554,14855,18690,15494,3933,5436,16922,12082,14955,16348,18486,21315,27659,24181,19265,5745,11842,20576,21064,14904,6456,5556,10632,4697,5428,3760,18426,21546,20745,14051,5631,4181,9144,13753,20756,6568,21445,6552,5456,10067,4579
1,00,"Eric Wargotz",REP,U.S. Senator,,,,13432,998,6979,2312,1512,16576,12595,8358,12918,3144,7503,9019,9116,21339,6151,7160,5558,15320,6685,13662,12995,9624,8633,2636,18063,1213,2981,4321,3180,9673,18969,9306,15559,7155,14100,2299,4085,846,15964,6531,10621,11773,12602,5368,6145,6194,19694,5933,2861,6352,1620,2797,420,11982,8070,5342,17258,15695,18285,7977,4808,11074,5310,1194,6196
1,00,"Kenniss Henry",GRN,U.S. Senator,,,,272,131,173,206,113,453,300,179,478,126,349,253,172,516,152,209,261,282,414,440,217,428,264,261,497,178,425,146,111,205,466,303,370,268,463,358,292,103,537,103,319,307,303,377,145,163,393,128,71,123,374,235,85,373,165,159,380,378,636,220,136,243,90,61,179
1,00,"Richard Shawver",CON,U.S. Senator,,,,200,54,193,123,51,308,262,182,293,76,163,270,239,415,188,217,146,368,158,238,222,108,153,84,436,70,83,100,133,227,548,248,261,179,352,95,155,73,264,119,219,159,179,199,115,127,402,155,61,167,103,100,49,314,184,176,505,231,350,121,101,202,114,37,181
1,00,"James T. Lynch, Jr.",DEM,U.S. Senator,,,Y,2,0,0,0,0,1,0,1,1,0,0,1,3,5,0,0,0,0,1,3,0,0,2,0,1,0,1,0,1,1,2,0,0,0,1,1,11,0,1,0,2,0,0,4,0,1,0,0,0,1,1,0,2,8,0,0,4,0,2,0,0,0,0,0,1
1,00,"Denise L. Whittington",DEM,U.S. Senator,,,Y,0,0,1,1,0,0,1,1,1,0,0,2,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,1,1,1,1,0,5,0,0,0,0
1,00,"Lih Young",DEM,U.S. Senator,,,Y,2,0,0,0,0,1,3,0,0,3,3,0,1,1,0,0,0,2,1,2,0,2,5,2,2,0,0,3,0,2,1,0,1,6,1,2,1,1,1,0,1,1,1,1,1,0,1,0,0,0,6,2,0,0,0,0,1,1,1,1,0,0,0,0,1
1,00,"Claud L. Asbury",REP,U.S. Senator,,,Y,0,3,3,6,0,5,0,2,3,5,5,2,3,4,0,6,2,1,4,4,1,7,4,1,1,0,1,1,2,2,4,0,21,7,1,2,11,0,3,0,7,1,1,2,0,1,0,3,0,2,1,3,1,2,1,1,8,2,4,3,1,3,0,0,0
1,00,"Mary Catherine Podlesak",REP,U.S. Senator,,,Y,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,00,"Robert J. Evans",UNF,U.S. Senator,,,Y,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
1,00,"Donald Kaplan",UNF,U.S. Senator,,,Y,3,0,0,2,1,4,0,2,1,1,0,2,1,6,0,0,0,1,1,8,0,0,0,0,2,2,1,0,0,0,6,1,1,2,6,3,1,1,3,0,1,0,1,7,0,1,1,0,0,1,0,2,0,5,0,0,3,0,3,1,1,3,0,2,1
1,00,"Other Write-Ins",BOT,U.S. Senator,,,Y,17,6,76,10,12,21,19,20,29,9,19,19,12,29,10,4,23,36,40,31,18,37,23,17,32,11,31,13,60,12,32,31,18,23,26,11,23,25,23,9,12,23,35,17,6,10,34,2,5,3,14,13,8,18,12,45,27,29,37,10,6,15,6,5,52
1,00,"Frank M. Kratovil, Jr.",DEM,U.S. Congress,01,,,11085,,,,,2727,,,,,,159,,6547,,4577,,,,811,11194,,,,3410,,,,,,17015,,,,458,,,,842,,,,,,,,5917,,5289,,,,,,5068,,,5287,6981,,,1138,5168,,
1,00,"Andy Harris",REP,U.S. Congress,01,Y,,14108,,,,,3923,,,,,,190,,12111,,7533,,,,1260,13261,,,,6344,,,,,,18515,,,,790,,,,1147,,,,,,,,12198,,2924,,,,,,8315,,,7325,7948,,,2460,5421,,
1,00,"Richard James Davis",LIB,U.S. Congress,01,,,1006,,,,,278,,,,,,29,,718,,693,,,,45,979,,,,469,,,,,,1424,,,,55,,,,54,,,,,,,,842,,262,,,,,,625,,,448,492,,,92,430,,
1,00,"Michael Kennedy",UNF,U.S. Congress,01,,Y,2,,,,,0,,,,,,0,,0,,0,,,,0,14,,,,0,,,,,,0,,,,0,,,,0,,,,,,,,0,,1,,,,,,0,,,0,1,,,0,0,,
1,00,"Jack N. Wilson",UNF,U.S. Congress,01,,Y,13,,,,,2,,,,,,0,,7,,8,,,,1,3,,,,2,,,,,,29,,,,0,,,,0,,,,,,,,5,,0,,,,,,2,,,11,33,,,2,1,,
1,00,"Other Write-Ins",BOT,U.S. Congress,01,,Y,18,,,,,3,,,,,,0,,17,,5,,,,5,12,,,,9,,,,,,23,,,,1,,,,1,,,,,,,,13,,9,,,,,,19,,,10,18,,,3,9,,
1,00,"C. A. Dutch Ruppersberger",DEM,U.S. Congress,02,Y,,,,,9279,,11524,,,,,,13518,,10073,,,,,,9296,,,,,9760,,,,,,,,,,6324,6337,6672,,9723,,,,,3620,,,57,,,,,,,14894,,,,,,,,219,,,
1,00,"Marcelo Cardarelli",REP,U.S. Congress,02,,,,,,853,,7314,,,,,,8417,,8759,,,,,,3994,,,,,7911,,,,,,,,,,2991,455,508,,7530,,,,,578,,,69,,,,,,,10790,,,,,,,,206,,,
1,00,"Lorenzo Gaztanaga",LIB,U.S. Congress,02,,,,,,227,,484,,,,,,553,,513,,,,,,257,,,,,534,,,,,,,,,,238,113,85,,529,,,,,87,,,4,,,,,,,821,,,,,,,,8,,,
1,00,"Other Write-Ins",BOT,U.S. Congress,02,,Y,,,,7,,13,,,,,,17,,16,,,,,,8,,,,,18,,,,,,,,,,2,1,10,,10,,,,,5,,,0,,,,,,,23,,,,,,,,1,,,
1,00,"John Sarbanes",DEM,U.S. Congress,03,Y,,,,,4310,,4670,,,12616,,,,,,,,3843,,,17397,,,,,3097,1195,,,,,,,639,,11390,4727,244,,9018,,6582,,,9297,,,,,,,2924,7530,,,,,,7799,10230,2091,,,,,
1,00,"Jim Wilhelm",REP,U.S. Congress,03,,,,,,1128,,4458,,,5792,,,,,,,,1821,,,7398,,,,,3389,521,,,,,,,678,,9904,1134,27,,6524,,5915,,,4166,,,,,,,841,2214,,,,,,8479,6578,2510,,,,,
1,00,"Jerry McKinley",LIB,U.S. Congress,03,,,,,,124,,291,,,427,,,,,,,,112,,,434,,,,,157,44,,,,,,,20,,607,104,1,,360,,330,,,488,,,,,,,97,148,,,,,,373,322,70,,,,,
1,00,"Alain Lareau",CON,U.S. Congress,03,,,,,,41,,86,,,119,,,,,,,,48,,,140,,,,,70,22,,,,,,,8,,245,23,0,,91,,108,,,93,,,,,,,19,40,,,,,,108,99,31,,,,,
1,00,"Other Write-Ins",BOT,U.S. Congress,03,,Y,,,,6,,5,,,15,,,,,,,,3,,,15,,,,,4,2,,,,,,,0,,20,7,0,,10,,5,,,14,,,,,,,6,10,,,,,,18,11,1,,,,,
1,00,"Donna Edwards",DEM,U.S. Congress,04,Y,,,7238,,,17652,,,,,,0,,,,,,,,968,,,,6560,4583,,,9726,4296,,,,,,5386,,,,22181,,,,13406,5615,,,,,,,,,,20828,,,,,,,,189,,,3728,
1,00,"Robert Broadus",REP,U.S. Congress,04,,,,718,,,1098,,,,,,0,,,,,,,,239,,,,5040,558,,,1771,478,,,,,,3098,,,,808,,,,7955,3279,,,,,,,,,,529,,,,,,,,45,,,151,
1,00,"Other Write-Ins",BOT,U.S. Congress,04,,Y,,11,,,30,,,,,,0,,,,,,,,11,,,,34,13,,,25,5,,,,,,9,,,,20,,,,46,17,,,,,,,,,,16,,,,,,,,0,,,6,
1,00,"Steny H. Hoyer",DEM,U.S. Congress,05,Y,,,,,,5414,,23836,,,,,,,,5615,,13174,,,,,,,12068,,,,11119,,,,,,,,,,2110,,5089,,,,,5974,5180,,,,,,,,,,,,,3079,4198,20959,,,6263,
1,00,"Charles Lollar",REP,U.S. Congress,05,,,,,,,606,,14442,,,,,,,,6894,,3952,,,,,,,2223,,,,4109,,,,,,,,,,192,,7460,,,,,6866,6808,,,,,,,,,,,,,3956,5759,5318,,,1173,
1,00,"H. Gavin Shickle",LIB,U.S. Congress,05,,,,,,,17,,384,,,,,,,,156,,199,,,,,,,160,,,,105,,,,,,,,,,7,,156,,,,,169,188,,,,,,,,,,,,,185,213,139,,,54,
1,00,"Other Write-Ins",BOT,U.S. Congress,05,,Y,,,,,5,,11,,,,,,,,5,,5,,,,,,,19,,,,13,,,,,,,,,,1,,0,,,,,6,3,,,,,,,,,,,,,7,8,10,,,1,
1,00,"Andrew Duck",DEM,U.S. Congress,06,,,,,4206,,,,,6523,,,,,3856,,,,,8564,,,,,,,,,,,3245,4197,,10903,,,,,,,,,,2232,72,,,,2340,3227,,2305,,,,,,3083,6938,,,,,3486,,,3896
1,00,"Roscoe G. Bartlett",REP,U.S. Congress,06,Y,,,,7619,,,,,8956,,,,,9577,,,,,15861,,,,,,,,,,,3668,10283,,9996,,,,,,,,,,3528,97,,,,8629,7044,,7761,,,,,,6216,18117,,,,,9436,,,6665
1,00,"Dan Massey",LIB,U.S. Congress,06,,,,,420,,,,,369,,,,,422,,,,,616,,,,,,,,,,,246,513,,498,,,,,,,,,,79,2,,,,391,268,,240,,,,,,305,902,,,,,486,,,361
1,00,"Michael Reed",CON,U.S. Congress,06,,,,,294,,,,,314,,,,,382,,,,,700,,,,,,,,,,,226,342,,422,,,,,,,,,,69,4,,,,287,283,,213,,,,,,261,969,,,,,245,,,267
1,00,"Other Write-Ins",BOT,U.S. Congress,06,,Y,,,21,,,,,10,,,,,15,,,,,17,,,,,,,,,,,8,8,,23,,,,,,,,,,4,0,,,,9,5,,1,,,,,,7,14,,,,,10,,,15
1,00,"Elijah Cummings",DEM,U.S. Congress,07,Y,,,,,5885,,,,,10574,7804,,,,,,,,,,264,,,,,,13799,,,,,,,12722,,,10297,20688,,,,4948,,,2018,,,,,,,15689,14179,,,,,,,,,,,,,
1,00,"Frank Mirabile, Jr.",REP,U.S. Congress,07,,,,,,113,,,,,7396,3279,,,,,,,,,,284,,,,,,605,,,,,,,15918,,,612,3478,,,,4568,,,299,,,,,,,710,493,,,,,,,,,,,,,
1,00,"Scott Spencer",LIB,U.S. Congress,07,,,,,,48,,,,,490,250,,,,,,,,,,26,,,,,,199,,,,,,,784,,,159,431,,,,288,,,70,,,,,,,295,125,,,,,,,,,,,,,
1,00,"Ray Bly",REP,U.S. Congress,07,,Y,,,,0,,,,,4,1,,,,,,,,,,0,,,,,,1,,,,,,,3,,,0,2,,,,0,,,1,,,,,,,1,1,,,,,,,,,,,,,
1,00,"Fred Donald Dickson, Jr.",UNF,U.S. Congress,07,,Y,,,,0,,,,,1,8,,,,,,,,,,3,,,,,,0,,,,,,,23,,,0,11,,,,5,,,0,,,,,,,0,0,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,U.S. Congress,07,,Y,,,,1,,,,,11,5,,,,,,,,,,0,,,,,,8,,,,,,,20,,,10,18,,,,5,,,3,,,,,,,15,4,,,,,,,,,,,,,
1,00,"Chris Van Hollen",DEM,U.S. Congress,08,Y,,,5918,,,,,,,,,18499,,,,,,,,21826,,,27212,12751,,,,9084,,,,,,,10756,,,,,,,,3788,15268,,,,,,,,,,,,,,,,,,,,,,
1,00,"Michael Lee Philips",REP,U.S. Congress,08,,,,369,,,,,,,,,7562,,,,,,,,6360,,,9379,4101,,,,1381,,,,,,,4366,,,,,,,,1306,9449,,,,,,,,,,,,,,,,,,,,,,
1,00,"Mark Grannis",LIB,U.S. Congress,08,,,,32,,,,,,,,,378,,,,,,,,480,,,533,196,,,,138,,,,,,,217,,,,,,,,53,303,,,,,,,,,,,,,,,,,,,,,,
1,00,"Fred Nordhorn",CON,U.S. Congress,08,,,,22,,,,,,,,,143,,,,,,,,104,,,77,59,,,,33,,,,,,,72,,,,,,,,22,62,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,U.S. Congress,08,,Y,,7,,,,,,,,,28,,,,,,,,39,,,40,18,,,,29,,,,,,,11,,,,,,,,0,16,,,,,,,,,,,,,,,,,,,,,,
1,00,"George C. Edwards",REP,State Senator,01,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9178,,9649,,,,,,8042,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,01,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,36,,,,,,127,,,,,,,,,
1,00,"Christopher B. Shank",REP,State Senator,02,Y,,,,7826,,,,,,,,,,,,,,,,,,,,,,,,,,3988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7460
1,00,"Donald F. Munson",REP,State Senator,02,,Y,,,3371,,,,,,,,,,,,,,,,,,,,,,,,,,2176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2206
1,00,"Other Write-Ins",BOT,State Senator,02,,Y,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
1,00,"Ronald N. Young",DEM,State Senator,03,Y,,,,,,,,,6919,,,,,,,,,,,,,,,,,,,,,,,,11964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Alex X. Mooney",REP,State Senator,03,,,,,,,,,,9215,,,,,,,,,,,,,,,,,,,,,,,,9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,03,,Y,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Sara Lou Trescott",DEM,State Senator,04,,,,,,,,,,,,,,,3453,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"David R. Brinkley",REP,State Senator,04,Y,,,,,,,,,,,,,,10564,,,,,18313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,04,,Y,,,,,,,,,,,,,12,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"C. Scott Stone",DEM,State Senator,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6860,,,,,4882,,,
1,00,"Joseph M. Getty",REP,State Senator,05,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19786,,,,,12317,,,
1,00,"Other Write-Ins",BOT,State Senator,05,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,18,,,
1,00,"Norman R. Stone, Jr.",DEM,State Senator,06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15061,,,,,,,,,,,
1,00,"Bruce D. Kahl",REP,State Senator,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11120,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,06,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,
1,00,"Rebecca Weir Nelson",DEM,State Senator,07,,,,,,,,,,,,,,,,12460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"J. B. Jennings",REP,State Senator,07,Y,,,,,,,,,,,,,,,24917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Jim Stavropoulos, Jr.",DEM,State Senator,07,,Y,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,07,,Y,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Katherine Klausmeier",DEM,State Senator,08,Y,,,,,,,21184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Dee Hodges",REP,State Senator,08,,,,,,,,14519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,08,,Y,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Jim Adams",DEM,State Senator,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3890,,,10634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Allan H. Kittleman",REP,State Senator,09,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11081,,,19818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,09,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Delores G. Kelley",DEM,State Senator,10,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28247,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Stephanie Boston",DEM,State Senator,10,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,10,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Bobby A. Zirkin",DEM,State Senator,11,Y,,,,,,,,,,,,,,,,,,,,,32056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,11,,Y,,,,,,,,,,,,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Edward J. Kasemeyer",DEM,State Senator,12,Y,,,,,,,,,,,7774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11274,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Rick Martel",REP,State Senator,12,,,,,,,,,,,,3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11219,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,12,,Y,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"James N. Robey",DEM,State Senator,13,Y,,,,,,,,,,22969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Kyle Lorton",REP,State Senator,13,,,,,,,,,,,14202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,13,,Y,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Karen S. Montgomery",DEM,State Senator,14,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19614,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Eric J. Cary",REP,State Senator,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12729,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator,14,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,
